InputID,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
4.20116E+11,2.452972765,2.090892798,3.699390321,2.779981447,0.461518373,4.904179101,0.208342898,4.904179101,3.990344239,1.036158357,0.959551211,1.114285763,0.924969472,1.676418747,1.382555514
4.20116E+11,2.452972765,2.090892798,3.699390321,2.779981447,0.461518373,4.904179101,0.208342898,4.904179101,3.990344239,0.933466955,0.927350034,0.790947483,NA,1.676418747,1.382555514
4.20116E+11,2.452972765,2.090892798,3.699390321,2.779981447,0.461518373,4.904179101,0.208342898,4.904179101,3.990344239,1.035207511,1.163502438,1.001840148,1.147599057,1.676418747,1.382555514
4.20102E+11,2.452972765,2.090892798,3.699390321,2.779981447,0.461518373,4.904179101,0.208342898,4.904179101,3.990344239,0.901507954,0.796070723,0.420185494,0.929601557,1.676418747,1.382555514
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,0.932833058,0.959300618,1.149310743,0.894571415,1.571015173,1.67267222
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,0.989302764,1.077549102,1.038236416,0.989818662,1.571015173,1.67267222
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,1.036158357,0.959551211,1.114285763,0.924969472,1.571015173,1.67267222
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,0.933466955,0.927350034,0.790947483,NA,1.571015173,1.67267222
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,1.043553828,1.025958307,0.965272468,0.874595548,0.946122556,1.273696428
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,0.942711294,0.981634703,1.157081375,1.197393971,1.571015173,1.67267222
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,1.195372289,1.097533879,1.06234823,1.01037354,1.571015173,1.67267222
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,0.953646027,0.961242712,1.071832972,0.97881746,1.571015173,1.67267222
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,1.036158357,0.959551211,1.114285763,0.924969472,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,0.933466955,0.927350034,0.790947483,NA,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,1.035207511,1.163502438,1.001840148,1.147599057,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,0.901507954,0.796070723,0.420185494,0.929601557,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,1.195372289,1.097533879,1.06234823,1.01037354,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,0.953646027,0.961242712,1.071832972,0.97881746,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,0.932833058,0.959300618,1.149310743,0.894571415,0.946122556,1.273696428
4.20102E+11,2.518547213,2.956456478,1.918449686,2.110457119,1.245026307,1.653734813,1.265328597,1.653734813,6.058637849,0.989302764,1.077549102,1.038236416,0.989818662,0.946122556,1.273696428
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,1.043553828,1.025958307,0.965272468,0.874595548,2.35652276,1.619513453
4.20102E+11,1.392891719,1.785966737,0.842502776,0.257621317,1.137696453,1.331541651,0.649026306,1.331541651,1.583602583,0.942711294,0.981634703,1.157081375,1.197393971,0.993805126,1.412567177
4.20102E+11,1.392891719,1.785966737,0.842502776,0.257621317,1.137696453,1.331541651,0.649026306,1.331541651,1.583602583,1.195372289,1.097533879,1.06234823,1.01037354,0.993805126,1.412567177
4.20102E+11,1.392891719,1.785966737,0.842502776,0.257621317,1.137696453,1.331541651,0.649026306,1.331541651,1.583602583,0.953646027,0.961242712,1.071832972,0.97881746,0.993805126,1.412567177
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,1.036158357,0.959551211,1.114285763,0.924969472,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,0.933466955,0.927350034,0.790947483,NA,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,1.035207511,1.163502438,1.001840148,1.147599057,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,0.901507954,0.796070723,0.420185494,0.929601557,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,1.195372289,1.097533879,1.06234823,1.01037354,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,0.953646027,0.961242712,1.071832972,0.97881746,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,0.932833058,0.959300618,1.149310743,0.894571415,2.35652276,1.619513453
4.20102E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,0.989302764,1.077549102,1.038236416,0.989818662,2.35652276,1.619513453
4.20102E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,1.035207511,1.163502438,1.001840148,1.147599057,1.571015173,1.67267222
4.20115E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,0.901507954,0.796070723,0.420185494,0.929601557,1.571015173,1.67267222
4.20115E+11,1.564741996,1.535263456,1.852891947,0.158648156,1.497251465,1.187552672,0.709020335,1.187552672,2.277212157,1.043553828,1.025958307,0.965272468,0.874595548,1.571015173,1.67267222
4.20115E+11,4.054364094,3.811273754,3.720287539,3.522280158,1.542866653,6.91432228,0.495768834,6.91432228,0,0.942711294,0.981634703,1.157081375,1.197393971,2.35652276,1.619513453
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,1.043553828,1.025958307,0.965272468,0.874595548,0.005872485,0.081745263
4.20115E+11,0.00510124,0.00515928,0.004598333,0.00820895,0.006466624,0.009494719,0.005890323,0.009494719,0,0.942711294,0.981634703,1.157081375,1.197393971,0.005922677,0.064144438
4.20115E+11,0.00510124,0.00515928,0.004598333,0.00820895,0.006466624,0.009494719,0.005890323,0.009494719,0,1.195372289,1.097533879,1.06234823,1.01037354,0.005922677,0.064144438
4.20115E+11,0.00510124,0.00515928,0.004598333,0.00820895,0.006466624,0.009494719,0.005890323,0.009494719,0,0.953646027,0.961242712,1.071832972,0.97881746,0.005922677,0.064144438
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,1.036158357,0.959551211,1.114285763,0.924969472,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,0.933466955,0.927350034,0.790947483,NA,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,1.035207511,1.163502438,1.001840148,1.147599057,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,0.901507954,0.796070723,0.420185494,0.929601557,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,1.195372289,1.097533879,1.06234823,1.01037354,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,0.953646027,0.961242712,1.071832972,0.97881746,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,0.932833058,0.959300618,1.149310743,0.894571415,0.005872485,0.081745263
4.20115E+11,0.012065698,0.021769647,0.002582625,0.018775791,0.005017671,0.011675938,0.005726703,0.011675938,0,0.989302764,1.077549102,1.038236416,0.989818662,0.005872485,0.081745263
