fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1360","420115404000",1328A,38197.6818689338,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1361","420115403000",1333A,28150.5773793951,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1362","420115403000",1334A,43498.2848027535,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1363","420115403000",1332A,15645.897221714,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1364","420115403000",1325A,20784.3386966951,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1365","420115403000",1330A,9675.03367312049,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1366","420115403000",1327A,22277.8585766775,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1367","420115403000",1331A,26782.0361571482,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1368","420115403000",1326A,16739.7374313151,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1369","420115403000",1329A,26086.0964867871,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1370","420115403000",1328A,14382.6535852179,3.86242927291235e-06,6.66777263955395e-06,2.92731481736515e-06,1.82957176085322e-07,1.26037165747666e-06,6.09857253617739e-07,8.13143004823652e-08,6.09857253617739e-07,0,,,,
"1371","420115001000",1333A,38840.2427959017,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1372","420115001000",1334A,47168.9240155135,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1373","420115001000",1332A,22478.3525581022,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1374","420115001000",1325A,29388.888513368,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1375","420115001000",1330A,20076.9069218923,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1376","420115001000",1327A,32091.3785859818,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1377","420115001000",1331A,34945.0643059667,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1378","420115001000",1326A,27147.9635614722,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
"1379","420115001000",1329A,33943.1745103031,8.04166741892447e-06,6.41922574668532e-06,1.05952495291443e-05,2.96271957539322e-07,5.71381632397265e-06,9.02924061072221e-07,3.38596522902083e-07,9.02924061072221e-07,0,,,,
