fid,InputID,TargetID
"591","420102007000",1333A
"592","420102007000",1334A
"593","420102007000",1332A
"594","420102007000",1325A
"595","420102007000",1330A
"596","420102007000",1327A
"597","420102007000",1331A
"598","420102007000",1326A
"599","420102007000",1329A
"600","420102007000",1328A
"601","420102009000",1333A
"602","420102009000",1334A
"603","420102009000",1332A
"604","420102009000",1325A
"605","420102009000",1330A
"606","420102009000",1327A
"607","420102009000",1331A
"608","420102009000",1326A
"609","420102009000",1329A
"610","420102009000",1328A
"611","420106005000",1333A
"612","420106005000",1334A
"613","420106005000",1332A
"614","420106005000",1325A
"615","420106005000",1330A
"616","420106005000",1327A
"617","420106005000",1331A
"618","420106005000",1326A
"619","420106005000",1329A
"620","420106005000",1328A
"621","420106014000",1333A
"622","420106014000",1334A
"623","420106014000",1332A
"624","420106014000",1325A
"625","420106014000",1330A
"626","420106014000",1327A
"627","420106014000",1331A
"628","420106014000",1326A
"629","420106014000",1329A
"630","420106014000",1328A
"631","420106010000",1333A
"632","420106010000",1334A
"633","420106010000",1332A
"634","420106010000",1325A
"635","420106010000",1330A
"636","420106010000",1327A
"637","420106010000",1331A
"638","420106010000",1326A
"639","420106010000",1329A
"640","420106010000",1328A
"641","420106006000",1333A
"642","420106006000",1334A
"643","420106006000",1332A
"644","420106006000",1325A
"645","420106006000",1330A
"646","420106006000",1327A
"647","420106006000",1331A
"648","420106006000",1326A
"649","420106006000",1329A
"650","420106006000",1328A
"651","420106007000",1333A
"652","420106007000",1334A
"653","420106007000",1332A
"654","420106007000",1325A
"655","420106007000",1330A
"656","420106007000",1327A
"657","420106007000",1331A
"658","420106007000",1326A
"659","420106007000",1329A
"660","420106007000",1328A
"661","420106009000",1333A
"662","420106009000",1334A
"663","420106009000",1332A
"664","420106009000",1325A
"665","420106009000",1330A
"666","420106009000",1327A
"667","420106009000",1331A
"668","420106009000",1326A
"669","420106009000",1329A
"670","420106009000",1328A
"671","420106008000",1333A
"672","420106008000",1334A
"673","420106008000",1332A
"674","420106008000",1325A
"675","420106008000",1330A
"676","420106008000",1327A
"677","420106008000",1331A
"678","420106008000",1326A
"679","420106008000",1329A
"680","420106008000",1328A
"681","420107003000",1333A
"682","420107003000",1334A
"683","420107003000",1332A
"684","420107003000",1325A
"685","420107003000",1330A
"686","420107003000",1327A
"687","420107003000",1331A
"688","420107003000",1326A
"689","420107003000",1329A
"690","420107003000",1328A
"691","420107010000",1333A
"692","420107010000",1334A
"693","420107010000",1332A
"694","420107010000",1325A
"695","420107010000",1330A
"696","420107010000",1327A
"697","420107010000",1331A
"698","420107010000",1326A
"699","420107010000",1329A
"700","420107010000",1328A
"701","420107006000",1333A
"702","420107006000",1334A
"703","420107006000",1332A
"704","420107006000",1325A
"705","420107006000",1330A
"706","420107006000",1327A
"707","420107006000",1331A
"708","420107006000",1326A
"709","420107006000",1329A
"710","420107006000",1328A
"711","420107002000",1333A
"712","420107002000",1334A
"713","420107002000",1332A
"714","420107002000",1325A
"715","420107002000",1330A
"716","420107002000",1327A
"717","420107002000",1331A
"718","420107002000",1326A
"719","420107002000",1329A
"720","420107002000",1328A
"721","420107005000",1333A
"722","420107005000",1334A
"723","420107005000",1332A
"724","420107005000",1325A
"725","420107005000",1330A
"726","420107005000",1327A
"727","420107005000",1331A
"728","420107005000",1326A
"729","420107005000",1329A
"730","420107005000",1328A
"731","420107001000",1333A
"732","420107001000",1334A
"733","420107001000",1332A
"734","420107001000",1325A
"735","420107001000",1330A
"736","420107001000",1327A
"737","420107001000",1331A
"738","420107001000",1326A
"739","420107001000",1329A
"740","420107001000",1328A
"741","420107004000",1333A
"742","420107004000",1334A
"743","420107004000",1332A
"744","420107004000",1325A
"745","420107004000",1330A
"746","420107004000",1327A
"747","420107004000",1331A
"748","420107004000",1326A
"749","420107004000",1329A
"750","420107004000",1328A
"751","420111009000",1333A
"752","420111009000",1334A
"753","420111009000",1332A
"754","420111009000",1325A
"755","420111009000",1330A
"756","420111009000",1327A
"757","420111009000",1331A
"758","420111009000",1326A
"759","420111009000",1329A
"760","420111009000",1328A
"761","420111004000",1333A
"762","420111004000",1334A
"763","420111004000",1332A
"764","420111004000",1325A
"765","420111004000",1330A
"766","420111004000",1327A
"767","420111004000",1331A
"768","420111004000",1326A
"769","420111004000",1329A
"770","420111004000",1328A
"771","420117011000",1333A
"772","420117011000",1334A
"773","420117011000",1332A
"774","420117011000",1325A
"775","420117011000",1330A
"776","420117011000",1327A
"777","420117011000",1331A
"778","420117011000",1326A
"779","420117011000",1329A
"780","420117011000",1328A
"781","420117010000",1333A
"782","420117010000",1334A
"783","420117010000",1332A
"784","420117010000",1325A
"785","420117010000",1330A
"786","420117010000",1327A
"787","420117010000",1331A
"788","420117010000",1326A
"789","420117010000",1329A
"790","420117010000",1328A
"791","420117009000",1333A
"792","420117009000",1334A
"793","420117009000",1332A
"794","420117009000",1325A
"795","420117009000",1330A
"796","420117009000",1327A
"797","420117009000",1331A
"798","420117009000",1326A
"799","420117009000",1329A
"800","420117009000",1328A
"801","420113001000",1333A
"802","420113001000",1334A
"803","420113001000",1332A
"804","420113001000",1325A
"805","420113001000",1330A
"806","420113001000",1327A
"807","420113001000",1331A
"808","420113001000",1326A
"809","420113001000",1329A
"810","420113001000",1328A
"811","420113004000",1333A
"812","420113004000",1334A
"813","420113004000",1332A
"814","420113004000",1325A
"815","420113004000",1330A
"816","420113004000",1327A
"817","420113004000",1331A
"818","420113004000",1326A
"819","420113004000",1329A
"820","420113004000",1328A
"821","420113003000",1333A
"822","420113003000",1334A
"823","420113003000",1332A
"824","420113003000",1325A
"825","420113003000",1330A
"826","420113003000",1327A
"827","420113003000",1331A
"828","420113003000",1326A
"829","420113003000",1329A
"830","420113003000",1328A
"831","420116008000",1333A
"832","420116008000",1334A
"833","420116008000",1332A
"834","420116008000",1325A
"835","420116008000",1330A
"836","420116008000",1327A
"837","420116008000",1331A
"838","420116008000",1326A
"839","420116008000",1329A
"840","420116008000",1328A
"841","420116010000",1333A
"842","420116010000",1334A
"843","420116010000",1332A
"844","420116010000",1325A
"845","420116010000",1330A
"846","420116010000",1327A
"847","420116010000",1331A
"848","420116010000",1326A
"849","420116010000",1329A
"850","420116010000",1328A
"851","420116009000",1333A
"852","420116009000",1334A
"853","420116009000",1332A
"854","420116009000",1325A
"855","420116009000",1330A
"856","420116009000",1327A
"857","420116009000",1331A
"858","420116009000",1326A
"859","420116009000",1329A
"860","420116009000",1328A
"861","420116012000",1333A
"862","420116012000",1334A
"863","420116012000",1332A
"864","420116012000",1325A
"865","420116012000",1330A
"866","420116012000",1327A
"867","420116012000",1331A
"868","420116012000",1326A
"869","420116012000",1329A
"870","420116012000",1328A
"871","420112014000",1333A
"872","420112014000",1334A
"873","420112014000",1332A
"874","420112014000",1325A
"875","420112014000",1330A
"876","420112014000",1327A
"877","420112014000",1331A
"878","420112014000",1326A
"879","420112014000",1329A
