城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,沉湖七壕,1334A,2017/4/20,70,21,91,0.99,10,81,5,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/21,71,26,93,0.79,8,65,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/22,74,20,98,0.42,6,109,5,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/23,74,34,85,0.55,16,107,6,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/24,74,40,92,0.64,18,104,6,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/25,75,52,81,0.83,15,81,4,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/4/26,104,77,98,1,11,95,2,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/4/27,71,33,69,0.66,11,147,5,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/28,60,37,63,0.71,8,102,4,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/29,60,35,67,0.76,8,102,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/30,56,26,63,0.81,8,123,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/1,76,51,86,1.03,29,68,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/2,77,52,90,1.15,19,90,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/3,41,23,42,1.08,13,65,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/4,34,17,33,1.01,9,78,5,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/5,85,30,122,0.86,15,87,5,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/6,414,126,657,0.67,11,77,8,严重污染,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/7,187,88,303,0.83,20,34,7,中度污染,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/8,45,22,55,0.62,3,71,8,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/9,49,26,52,0.78,6,77,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/10,64,35,78,0.86,33,83,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/11,67,42,87,0.95,30,48,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/12,43,18,43,0.64,10,89,8,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/13,58,27,66,0.62,20,96,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/14,83,39,101,0.8,31,102,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/15,70,43,85,0.86,15,104,7,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/16,68,43,74,0.79,14,118,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/17,72,37,83,0.87,20,130,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/18,98,56,101,0.98,38,108,10,良,臭氧1小时
武汉,沉湖七壕,1334A,2017/5/19,84,61,100,0.99,24,77,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/20,70,49,104,0.89,23,87,7,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/21,80,52,101,0.97,16,100,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/22,38,25,36,0.79,9,65,3,优,
武汉,沉湖七壕,1334A,2017/5/23,28,3,22,0.67,7,82,4,优,
武汉,沉湖七壕,1334A,2017/5/24,45,14,42,0.63,9,119,5,优,臭氧1小时
武汉,沉湖七壕,1334A,2017/5/25,71,44,59,0.65,13,131,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/26,76,43,61,0.76,10,133,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/27,72,38,61,0.72,17,121,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/28,84,40,76,0.81,37,121,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/29,76,35,81,0.8,25,124,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/5/30,81,56,97,0.99,25,98,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/5/31,82,60,90,1.07,7,91,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/1,41,19,38,0.87,5,101,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/2,69,45,69,1.08,8,108,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/3,97,67,116,1.26,23,120,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/4,80,39,108,1.2,16,122,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/6/5,35,19,31,1.03,10,76,7,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/6/6,31,9,16,0.9,6,97,6,优,
