wkt_geom,fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
"MultiPoint ((114.28201743617051989 30.58374154011088208),(114.35354139999999745 30.58268419999999921))",454,4.20103E+11,1325A,6861.373042,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,48.41369863,81.10958904,37.9260274,,9.39E-05,136.364
"MultiPoint ((114.28201743617051989 30.58374154011088208),(114.3843389999999971 30.51554900000000004))",453,4.20103E+11,1332A,12391.17864,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,53.69041096,101.7643836,48.03835616,10.86027397,9.39E-05,136.364
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.28201743617051989 30.58374154011088208))",452,4.20103E+11,1334A,51316.60399,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,46.75616438,69.62739726,20.14794521,8.797260274,9.39E-05,136.364
"MultiPoint ((114.28201743617051989 30.58374154011088208),(114.39685199999999554 30.61899500000000174))",459,4.20103E+11,1329A,11685.49959,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,61.99726027,95.99452055,50.93972603,9.561643836,9.39E-05,136.364
"MultiPoint ((114.25827400000000011 30.55532499999999985),(114.28201743617051989 30.58374154011088208))",458,4.20103E+11,1326A,3887.481596,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,49.46027397,84.0739726,51.39452055,9.263013699,9.39E-05,136.364
"MultiPoint ((114.28201743617051989 30.58374154011088208),(114.38645699999999295 30.62975099999999884))",457,4.20103E+11,1331A,11239.22202,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,48.38082192,83.90410959,55.10958904,8.465753425,9.39E-05,136.364
"MultiPoint ((114.28201743617051989 30.58374154011088208),(114.29549799999999493 30.6063459999999985))",456,4.20103E+11,1327A,2819.833348,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,51.30958904,94.24657534,49.78356164,9.367123288,9.39E-05,136.364
"MultiPoint ((114.26802260101200659 30.61482920845775979),(114.3843389999999971 30.51554900000000004))",463,4.20103E+11,1332A,15673.53174,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,53.69041096,101.7643836,48.03835616,10.86027397,6.26E-05,140.84
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.26802260101200659 30.61482920845775979))",462,4.20103E+11,1334A,52252.00552,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,46.75616438,69.62739726,20.14794521,8.797260274,6.26E-05,140.84
"MultiPoint ((114.13591800000000376 30.62591507000000135),(114.26802260101200659 30.61482920845775979))",461,4.20103E+11,1333A,12725.74132,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,54.12328767,89.73424658,46.28493151,8.276712329,6.26E-05,140.84
